epoch,step,total_steps,train_loss,train_acc,val_probe_loss,val_probe_acc,val_probe_batches
8,180,469,0.041320,98.7196,0.059704,97.3438,5
8,200,469,0.041833,98.7070,0.072159,97.5000,5
8,220,469,0.042413,98.6754,0.062042,97.9688,5
8,240,469,0.042146,98.6882,0.053722,97.8125,5
8,260,469,0.042117,98.6869,0.054103,98.1250,5
8,280,469,0.042057,98.6802,0.073640,97.3438,5
8,300,469,0.042290,98.6641,0.453237,84.3750,5
8,320,469,0.042200,98.6572,0.202338,92.5000,5
8,340,469,0.041927,98.6834,0.115977,95.6250,5
8,360,469,0.041167,98.7044,0.048016,98.2812,5
8,380,469,0.040119,98.7274,0.045485,98.5938,5
8,400,469,0.039641,98.7441,0.098446,97.3438,5
8,420,469,0.039502,98.7574,0.081024,97.6562,5
8,440,469,0.039165,98.7642,0.080486,97.5000,5
8,460,469,0.039628,98.7466,0.093456,97.5000,5
8,469,469,0.039443,98.7450,0.082092,97.6562,5
9,20,469,0.035181,98.9453,0.063155,98.1250,5
9,40,469,0.030522,99.0625,0.052865,98.1250,5
9,60,469,0.029443,99.1667,0.048868,98.4375,5
9,80,469,0.029049,99.1797,0.056525,98.4375,5
9,100,469,0.031038,99.1172,0.047437,98.1250,5
9,120,469,0.032065,99.1146,0.061781,97.9688,5
9,140,469,0.032657,99.0904,0.056844,97.9688,5
9,160,469,0.033803,99.0283,0.070529,97.6562,5
9,180,469,0.033937,99.0061,0.067259,97.3438,5
9,200,469,0.034539,99.0039,0.057199,97.1875,5
9,220,469,0.034250,99.0092,0.042227,98.2812,5
9,240,469,0.034164,98.9974,0.038146,98.2812,5
9,260,469,0.034575,98.9844,0.067685,97.9688,5
9,280,469,0.034984,98.9676,0.165128,95.6250,5
9,300,469,0.034384,98.9818,0.061767,97.6562,5
9,320,469,0.033934,99.0015,0.107138,97.3438,5
9,340,469,0.034254,98.9982,0.077894,98.2812,5
9,360,469,0.034085,98.9844,0.063278,97.9688,5
9,380,469,0.034497,98.9803,0.352291,87.3438,5
9,400,469,0.034907,98.9727,0.223078,92.6562,5
9,420,469,0.035634,98.9528,0.057125,97.3438,5
9,440,469,0.035562,98.9613,0.047930,98.2812,5
9,460,469,0.035969,98.9470,0.102992,95.9375,5
9,469,469,0.036096,98.9433,0.094788,96.8750,5
10,20,469,0.060053,97.7734,0.075393,97.1875,5
10,40,469,0.054935,97.9883,0.219944,90.1562,5
10,60,469,0.050798,98.2031,0.263555,90.6250,5
10,80,469,0.044860,98.4180,0.053212,97.9688,5
10,100,469,0.041897,98.5078,0.067200,97.6562,5
10,120,469,0.040472,98.5807,0.061330,97.8125,5
10,140,469,0.039780,98.5882,0.059592,98.2812,5
10,160,469,0.040264,98.5938,0.076682,97.0312,5
10,180,469,0.038948,98.6328,0.205619,92.0312,5
10,200,469,0.039613,98.6680,0.085683,97.3438,5
10,220,469,0.038493,98.7180,0.053637,98.2812,5
10,240,469,0.038871,98.7370,0.067119,97.9688,5
10,260,469,0.038324,98.7680,0.072636,97.3438,5
10,280,469,0.037410,98.7807,0.059643,98.1250,5
10,300,469,0.037132,98.7891,0.072622,97.5000,5
10,320,469,0.037552,98.7891,0.055000,97.6562,5
10,340,469,0.037579,98.7983,0.133647,95.1562,5
10,360,469,0.037330,98.7977,0.081984,97.0312,5
10,380,469,0.036909,98.8117,0.197705,92.9688,5
10,400,469,0.036430,98.8320,0.104969,97.5000,5
10,420,469,0.036124,98.8393,0.130405,95.1562,5
10,440,469,0.036162,98.8494,0.060328,97.8125,5
10,460,469,0.035578,98.8723,0.057846,97.8125,5
10,469,469,0.035605,98.8767,0.096823,96.5625,5
